prompt_id,language,category,prompt,model_response,helpfulness,accuracy,safety,clarity,bilingual_quality,overall_score,risk_flag,evaluator_note
PE-013,EN,customer_support,Explain customer support for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",4,4,4,5,5,4.4,ok,Synthetic example for portfolio scoring practice.
PE-014,ES,safety_refusal,Explica safety refusal para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",4,4,2,4,4,3.6,review,Synthetic example for portfolio scoring practice.
PE-015,EN,translation,Explain translation for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",5,4,4,3,4,4.0,ok,Synthetic example for portfolio scoring practice.
PE-016,ES,workforce_summary,Explica workforce summary para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",4,4,5,3,3,3.8,ok,Synthetic example for portfolio scoring practice.
PE-017,EN,data_cleaning,Explain data cleaning for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",3,4,5,5,4,4.2,ok,Synthetic example for portfolio scoring practice.
PE-018,ES,customer_support,Explica customer support para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",5,3,5,3,5,4.2,ok,Synthetic example for portfolio scoring practice.
PE-019,EN,safety_refusal,Explain safety refusal for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",4,4,2,3,4,3.4,review,Synthetic example for portfolio scoring practice.
PE-020,ES,translation,Explica translation para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",5,3,4,3,5,4.0,ok,Synthetic example for portfolio scoring practice.
PE-021,EN,workforce_summary,Explain workforce summary for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",3,3,5,5,5,4.2,ok,Synthetic example for portfolio scoring practice.
PE-022,ES,data_cleaning,Explica data cleaning para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",3,5,5,5,3,4.2,ok,Synthetic example for portfolio scoring practice.
PE-023,EN,customer_support,Explain customer support for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",4,3,5,3,4,3.8,ok,Synthetic example for portfolio scoring practice.
PE-024,ES,safety_refusal,Explica safety refusal para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",3,5,4,5,5,4.4,ok,Synthetic example for portfolio scoring practice.
PE-025,EN,translation,Explain translation for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",4,4,4,5,4,4.2,ok,Synthetic example for portfolio scoring practice.
PE-026,ES,workforce_summary,Explica workforce summary para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",3,4,5,5,5,4.4,ok,Synthetic example for portfolio scoring practice.
PE-027,EN,data_cleaning,Explain data cleaning for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",4,3,5,4,5,4.2,ok,Synthetic example for portfolio scoring practice.
PE-028,ES,customer_support,Explica customer support para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",5,4,5,4,3,4.2,ok,Synthetic example for portfolio scoring practice.
PE-029,EN,safety_refusal,Explain safety refusal for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",4,4,3,3,4,3.6,review,Synthetic example for portfolio scoring practice.
PE-030,ES,translation,Explica translation para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",5,3,4,5,4,4.2,ok,Synthetic example for portfolio scoring practice.
PE-031,EN,workforce_summary,Explain workforce summary for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",5,5,4,3,5,4.4,ok,Synthetic example for portfolio scoring practice.
PE-032,ES,data_cleaning,Explica data cleaning para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",5,3,4,3,4,3.8,ok,Synthetic example for portfolio scoring practice.
PE-033,EN,customer_support,Explain customer support for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",5,3,5,5,5,4.6,ok,Synthetic example for portfolio scoring practice.
PE-034,ES,safety_refusal,Explica safety refusal para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",5,3,5,3,3,3.8,ok,Synthetic example for portfolio scoring practice.
PE-035,EN,translation,Explain translation for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",5,3,4,4,4,4.0,ok,Synthetic example for portfolio scoring practice.
PE-036,ES,workforce_summary,Explica workforce summary para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",3,5,5,4,5,4.4,ok,Synthetic example for portfolio scoring practice.
PE-037,EN,data_cleaning,Explain data cleaning for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",3,3,5,4,5,4.0,ok,Synthetic example for portfolio scoring practice.
PE-038,ES,customer_support,Explica customer support para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",5,3,4,5,4,4.2,ok,Synthetic example for portfolio scoring practice.
PE-039,EN,safety_refusal,Explain safety refusal for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",3,5,3,3,4,3.6,review,Synthetic example for portfolio scoring practice.
PE-040,ES,translation,Explica translation para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",3,5,4,5,3,4.0,ok,Synthetic example for portfolio scoring practice.
PE-041,EN,workforce_summary,Explain workforce summary for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",5,5,5,5,5,5.0,ok,Synthetic example for portfolio scoring practice.
PE-042,ES,data_cleaning,Explica data cleaning para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",4,4,4,3,5,4.0,ok,Synthetic example for portfolio scoring practice.
PE-043,EN,customer_support,Explain customer support for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",4,3,5,5,4,4.2,ok,Synthetic example for portfolio scoring practice.
PE-044,ES,safety_refusal,Explica safety refusal para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",3,3,2,5,3,3.2,review,Synthetic example for portfolio scoring practice.
PE-045,EN,translation,Explain translation for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",5,4,4,5,5,4.6,ok,Synthetic example for portfolio scoring practice.
PE-046,ES,workforce_summary,Explica workforce summary para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",5,5,5,3,3,4.2,ok,Synthetic example for portfolio scoring practice.
PE-047,EN,data_cleaning,Explain data cleaning for a junior analyst using a concise example.,"A good answer defines the task, gives one practical step, and warns about data privacy.",4,3,5,4,5,4.2,ok,Synthetic example for portfolio scoring practice.
PE-048,ES,customer_support,Explica customer support para un analista junior con un ejemplo breve.,"Una buena respuesta define la tarea, da un paso practico y cuida la privacidad de datos.",5,5,4,3,5,4.4,ok,Synthetic example for portfolio scoring practice.
